date,value
2024-01-19 18:00:00,11.535357
2024-01-19 19:00:00,9.299901
2024-01-19 20:00:00,11.115484
2024-01-19 21:00:00,10.602557
2024-01-19 22:00:00,10.80731
2024-01-19 23:00:00,9.868136
2024-01-20 00:00:00,8.508401
2024-01-20 01:00:00,8.215612
2024-01-20 02:00:00,9.743275
2024-01-20 03:00:00,9.226254
2024-01-20 04:00:00,9.440279
2024-01-20 05:00:00,0.58334
2024-01-20 06:00:00,5.130008
2024-01-20 07:00:00,5.916916
2024-01-20 08:00:00,8.545445
2024-01-20 09:00:00,7.464454
2024-01-20 10:00:00,7.683477
2024-01-20 11:00:00,3.999534
2024-01-20 12:00:00,5.633657
2024-01-20 13:00:00,11.021468
2024-01-20 14:00:00,2.300637
2024-01-20 15:00:00,10.670159
2024-01-20 16:00:00,10.992986
2024-01-20 17:00:00,5.71374
2024-01-20 18:00:00,7.940252
2024-01-20 19:00:00,11.17157
2024-01-20 20:00:00,8.835421
2024-01-20 21:00:00,10.350501
2024-01-20 22:00:00,9.028676
2024-01-20 23:00:00,8.175526
2024-01-21 00:00:00,9.222842
2024-01-21 01:00:00,8.799991
2024-01-21 02:00:00,9.264781
2024-01-21 03:00:00,9.83705
2024-01-21 04:00:00,8.370588
2024-01-21 05:00:00,8.17861
2024-01-21 06:00:00,9.407395
2024-01-21 07:00:00,6.514982
2024-01-21 08:00:00,9.782614
2024-01-21 09:00:00,6.002457
2024-01-21 10:00:00,8.853019
2024-01-21 11:00:00,9.355809
2024-01-21 12:00:00,8.593486
2024-01-21 13:00:00,8.584337
2024-01-21 14:00:00,9.307474
2024-01-21 15:00:00,9.049029
2024-01-21 16:00:00,9.233187
2024-01-21 17:00:00,8.644798
2024-01-21 18:00:00,8.255245
2024-01-21 19:00:00,5.88567
2024-01-21 20:00:00,7.355836
2024-01-21 21:00:00,7.682534
2024-01-21 22:00:00,5.539473
2024-01-21 23:00:00,0.0
2024-01-25 00:00:00,7.483779
2024-01-25 01:00:00,1.204975
2024-01-25 02:00:00,3.969721
2024-01-25 03:00:00,4.399476
2024-01-25 04:00:00,7.03727
2024-01-25 05:00:00,5.947951
2024-01-25 06:00:00,2.343372
2024-01-25 07:00:00,2.188377
2024-01-25 08:00:00,0.0
2024-01-25 09:00:00,1.732734
2024-01-25 10:00:00,7.845297
2024-01-25 11:00:00,7.564755
2024-01-25 12:00:00,7.716173
2024-01-25 13:00:00,7.05975
2024-01-25 14:00:00,6.963351
2024-01-25 15:00:00,7.024567
2024-01-25 16:00:00,7.394549
2024-01-25 17:00:00,6.937699
2024-01-25 18:00:00,6.297221
2024-01-25 19:00:00,3.068965
2024-01-25 20:00:00,6.088733
2024-01-25 21:00:00,3.880586
2024-01-25 22:00:00,4.523327
2024-01-25 23:00:00,7.097887
2024-01-28 00:00:00,0.259696
2024-01-28 01:00:00,0.429014
2024-01-28 02:00:00,0.452543
2024-01-28 03:00:00,2.953167
2024-01-28 04:00:00,3.638602
2024-01-28 05:00:00,4.225689
2024-01-28 06:00:00,4.290546
2024-01-28 07:00:00,2.623442
2024-01-28 08:00:00,2.345014
2024-01-28 09:00:00,2.563086
2024-01-28 10:00:00,2.757612
2024-01-28 11:00:00,2.190002
2024-01-28 12:00:00,3.215819
2024-01-28 13:00:00,4.209506
2024-01-28 14:00:00,4.429426
2024-01-28 15:00:00,4.958167
2024-01-28 16:00:00,5.870388
2024-01-28 17:00:00,2.044193
2024-01-28 18:00:00,4.972187
2024-01-28 19:00:00,0.476442
2024-01-28 20:00:00,3.084119
2024-01-28 21:00:00,5.239397
2024-01-28 22:00:00,5.408453
2024-01-28 23:00:00,4.265971
